PO_MW (g/mol),DI_MR,PO_MR,CE_MR,IsoIndex,CHS (%),Tr1,Tr2,Gage_Length (mm),Gage_Width (mm),Thickness (mm),Elongation_Rate (mm/min),Strain_Rate (/min),Young's modulus (Mpa),Tensile strength (Mpa),Elongation at break (%)
1400,0.5,0.25,,1.0,27.0,80.0,80.0,25.0,4.0,4.0,50.0,2.0,22.49,31.2,1020.0
1400,0.5,0.167,,1.0,38.3,80.0,80.0,25.0,4.0,4.0,50.0,2.0,44.5,41.0,862.0
1400,0.5,0.25,,1.0,24.5,80.0,80.0,25.0,4.0,4.0,50.0,2.0,34.9,48.2,1070.0
1400,0.5,0.167,0.333,1.0,34.6,80.0,80.0,25.0,4.0,4.0,50.0,2.0,93.09,40.2,836.0
3000,0.505,0.412,,1.022,10.8,25.0,25.0,20.0,4.0,0.4,25.0,1.25,5.52,6.02,916.6
6000,0.505,0.275,0.22,1.022,10.1,25.0,25.0,20.0,4.0,0.4,25.0,1.25,3.66,4.75,815.6
9000,0.505,0.191,,1.022,10.7,25.0,25.0,20.0,4.0,0.4,25.0,1.25,1.76,5.28,1005.0
12000,0.505,0.155,,1.022,10.4,25.0,25.0,20.0,4.0,0.4,25.0,1.25,1.44,4.14,796.0
15000,0.505,0.134,0.361,1.022,9.9,25.0,25.0,20.0,4.0,0.4,25.0,1.25,1.03,3.83,1280.0
18000,0.505,0.11,,1.022,10.2,25.0,25.0,20.0,4.0,0.4,25.0,1.25,0.99,3.35,855.3
26000,0.505,0.081,,1.022,9.9,25.0,25.0,20.0,4.0,0.4,25.0,1.25,0.61,1.91,593.0
31000,0.505,0.069,,1.022,10.0,25.0,25.0,20.0,4.0,0.4,25.0,1.25,0.57,1.91,533.0
1800,0.505,0.354,,1.02,15.3,80.0,110.0,30.0,5.0,2.0,10.0,0.333,54.8,11.7,469.0
1800,0.505,0.354,0.141,1.02,15.6,80.0,110.0,30.0,5.0,2.0,10.0,0.333,28.1,10.9,526.0
1800,0.505,0.354,,1.02,14.8,80.0,110.0,30.0,5.0,2.0,10.0,0.333,61.4,14.7,701.0
1800,0.505,0.354,,1.02,15.1,80.0,110.0,30.0,5.0,2.0,10.0,0.333,41.7,12.5,662.0
1800,0.512,0.244,0.244,1.05,19.8,70.0,25.0,25.0,4.0,0.5,200.0,8.0,26.28,16.5,724.0
3300,0.504,0.083,,1.017,35.4,45.0,55.0,35.0,2.0,0.5,50.0,1.429,210.0,43.8,523.0
1000,0.506,0.253,0.241,1.026,37.0,90.0,130.0,33.0,6.0,2.0,500.0,15.152,10.4,55.1,464.0
1000,0.508,0.203,,1.031,43.0,90.0,130.0,33.0,6.0,2.0,500.0,15.152,27.5,42.3,355.0
1000,0.508,0.169,,1.034,48.0,90.0,130.0,33.0,6.0,2.0,500.0,15.152,37.5,50.7,375.0
1000,0.509,0.159,0.332,1.036,49.7,90.0,130.0,33.0,6.0,2.0,500.0,15.152,50.0,59.2,372.0
2000,0.506,0.253,,1.026,22.7,90.0,130.0,33.0,6.0,2.0,500.0,15.152,6.5,43.0,482.0
2000,0.508,0.203,,1.031,27.4,90.0,130.0,33.0,6.0,2.0,500.0,15.152,8.8,46.8,466.0
2000,0.508,0.169,0.323,1.034,31.6,90.0,130.0,33.0,6.0,2.0,500.0,15.152,9.5,48.1,478.0
900,0.5,0.3616,0.1384,1.0,30.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,140.0,11.4,290.0
900,0.5,0.296,0.204,1.0,35.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,270.0,14.5,200.0
2500,0.5,0.3006,,1.0,16.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,15.2,5.6,175.0
2500,0.5,0.1998,,1.0,23.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,31.0,8.8,110.0
2500,0.5,0.1425,0.3575,1.0,30.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,42.0,12.0,110.0
2500,0.5,0.3013,,1.0,17.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,20.0,6.0,250.0
2500,0.5,0.2554,,1.0,20.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,19.0,8.1,195.0
3200,0.5,0.2453,,1.0,17.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,16.4,9.7,265.0
3200,0.5,0.168,,1.0,24.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,22.0,13.2,205.0
3200,0.5,0.1272,,1.0,30.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,34.5,17.9,170.0
3200,0.5,0.099,,1.0,36.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,53.0,22.0,150.0
900,0.5,0.448,,1.0,25.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,56.0,6.8,400.0
2500,0.5,0.18,,1.0,25.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,18.2,8.6,265.0
2500,0.5,0.235,,1.0,20.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,9.7,5.3,240.0
2500,0.5,0.18,,1.0,25.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,18.2,8.7,265.0
2500,0.5,0.199,0.301,1.0,25.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,16.3,10.0,280.0
2500,0.5,0.199,,1.0,25.0,22.0,22.0,22.0,5.0,0.5,25.0,0.625,20.2,8.0,260.0
1985,0.501,0.25,,1.004,24.4,22.0,22.0,22.0,5.0,0.5,25.0,0.625,4.3,25.4,1320.0
