SSID,ZS_CHS,ZS_R,ZS_log_Tr1K,ZS_log_Tr2K,PMStep,Form_Method,ZS_log_CSArea,ZS_log_StrainRate,ZS_log_PO_MW,ZS_log_FCVm,ZS_FCCED,ZS_log_Fchi,ZS_SS_TPSA_norm,ZS_SS_MolLogP_norm,ZS_HS_BertzCT,ZS_SS_VSA_EState8,ZS_SS_PEOE_VSA8,ZS_log_HS_NumNHCO_norm,ZS_FC_NumHAcceptors_norm,ZS_FC_RingCount_norm,logEB,logYM,logTS
SS1173,2.469842715,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-1.071789079,0.991968866,-1.473315787,0.925136167,0.676394395,0.550934502,-0.834294412,-1.013315389,-1.302331322,-0.00584382,-0.369641046,0.431363764,2.164352856,1.33243846
SS1174,1.199723931,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.786743858,0.677738682,-1.355468955,0.925136167,0.676394395,0.02689553,-0.834294412,-1.013315389,-0.879143914,0.609345067,-0.803570718,0.380211242,2.05804623,1.204119983
SS1175,0.680129883,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.684098042,0.572267423,-1.311776027,0.925136167,0.676394395,-0.235123957,-0.834294412,-1.013315389,-0.640043444,0.866823537,-1.001779916,0.579783597,1.797959644,1.152288344
SS1176,0.224683249,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.600175279,0.486908056,-1.27489018,0.925136167,0.676394395,-0.497143443,-0.834294412,-1.013315389,-0.3779256,1.097914974,-1.194613992,0.681241237,1.650307523,1.123851641
SS1177,-0.551500452,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.464152164,0.348848373,-1.210600266,0.925136167,0.676394395,-1.021182415,-0.834294412,-1.013315389,0.236754828,1.521065688,-1.594406511,0.799340549,1.250420002,1.029383778
SS1178,2.630211248,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.873892342,0.696300524,-1.950746215,0.925136167,0.676394395,0.823345684,-0.834294412,-1.013315389,-1.66260949,-0.500000448,-0.579029333,0.602059991,2.353723938,1.367355921
SS1179,1.392166171,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.665711016,0.512615378,-1.802050912,0.925136167,0.676394395,0.231203916,-0.834294412,-1.013315389,-1.197256305,0.227339673,-0.940434389,0.672097858,2.067814511,1.328379603
SS1180,0.85974264,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.590530784,0.448277335,-1.729206622,0.925136167,0.676394395,-0.064866968,-0.834294412,-1.013315389,-0.930927305,0.537192218,-1.106945367,0.72427587,1.881954971,1.271841607
SS1181,0.397881265,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.535749265,0.398664372,-1.654750007,0.925136167,0.676394395,-0.360937852,-0.834294412,-1.013315389,-0.635717762,0.806422742,-1.267017033,0.662757832,1.687528961,1.041392685
SS1182,-0.468108815,-0.45846916,0.827342413,1.106032015,1,3,0.754153633,0.627556623,-0.904926684,-0.432553662,0.308525297,-1.461590575,0.925136167,0.676394395,-0.95307962,-0.834294412,-1.013315389,0.072409941,1.360257089,-1.620462502,0.826074803,1.607455023,0.944482672
SS1189,-1.048642906,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,0.802878963,-0.646801765,0.497926248,-0.557772199,0.185004065,0.158686096,0.062210277,1.097456765,-0.239054247,-0.020808392,0.119567751,0.903089987,0.763427994,1.283301229
SS1190,-0.502748418,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,0.401913575,-0.475677965,0.336366661,-0.557772199,0.185004065,0.270746725,0.062210277,1.097456765,-0.37341391,-0.002667822,0.38161095,0.875061263,1.010723865,1.385606274
SS1191,-0.064621585,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,0.109019372,-0.319860675,0.218881832,-0.557772199,0.185004065,0.325289509,0.062210277,1.097456765,-0.436488302,0.002601271,0.541001607,0.77815125,1.181843588,1.152288344
SS1192,0.293962455,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,-0.117248774,-0.179349784,0.128274282,-0.557772199,0.185004065,0.35801518,0.062210277,1.097456765,-0.473643784,0.00597199,0.647210487,0.875061263,1.303843775,1.419955748
SS1193,1.088748906,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,-0.590567989,0.183023363,-0.060992674,-0.557772199,0.185004065,0.407103685,0.062210277,1.097456765,-0.528443947,0.006967281,0.831367465,0.780317312,1.576916956,1.521138084
SS1195,-0.477730927,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,0.32919631,-0.435066,0.404575836,-0.557772199,0.185004065,0.230752518,0.062210277,1.097456765,-0.272650236,0.144057008,0.518261769,0.780317312,0.944482672,1.413299764
SS1196,-0.03896262,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,0.031985245,-0.268670829,0.281025986,-0.557772199,0.185004065,0.281250434,0.062210277,1.097456765,-0.334250035,0.163280926,0.677699451,0.687528961,0.961421094,1.418301291
SS1197,0.324111739,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,-0.200131332,-0.116595553,0.185644185,-0.557772199,0.185004065,0.311744345,0.062210277,1.097456765,-0.370784622,0.175461,0.784983136,0.716003344,1.281033367,1.437750563
SS1198,1.11569082,-0.45846916,0.546134351,0.656754849,2,4,-0.015983412,-0.086750605,0.242955685,-0.677631996,0.269616579,-0.008731931,-0.557772199,0.185004065,0.357607187,0.062210277,1.097456765,-0.424826414,0.194036991,0.966288812,0.713490543,1.51054501,1.437750563
SS1203,-0.491843358,-0.45846916,0.827342413,-0.577990997,2,2,-0.015983412,-0.086750605,0.242955685,0.550920022,-0.346308696,0.618429602,-0.557772199,0.185004065,1.214313003,0.062210277,1.097456765,0.364890473,-1.312412256,1.015596795,0.930439595,1.220892249,1.555094449
SS1204,-0.564971409,-0.45846916,0.827342413,-0.577990997,2,2,-0.015983412,-0.086750605,0.242955685,0.528895684,-0.328059758,0.739122089,-0.557772199,0.185004065,1.131260247,0.062210277,1.097456765,0.51702557,-1.208526254,1.188163693,0.778874472,1.134495856,1.525044807
SS1205,-0.491843358,-0.45846916,0.827342413,-0.577990997,2,2,-0.015983412,-0.086750605,0.242955685,0.550920022,-0.346308696,0.618429602,-0.557772199,0.185004065,1.214313003,0.062210277,1.097456765,0.364890473,-1.312412256,1.015596795,0.875061263,1.194514342,1.29666519
