Compound,A,B,In literature,Lowest distortion,v(A),v(B),r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,τ,μ
BaZrO3,Ba,Zr,TRUE,cubic,2,4,1.61,1.35,0.72,0.89,1.33,2.942998888,2.043777903,-7.973642857,1.003958213,3.501807034,0.514285714
BiAgO3,Bi,Ag,FALSE,orthorhombic,3,3,1.38,0.9,0.75,2.02,1.93,2.514401896,2.488353231,-5.5995,0.914305512,1.919326011,0.535714286
BiAsO3,Bi,As,FALSE,orthorhombic,3,3,1.38,0.9,0.58,2.02,2.18,2.514401896,1.932227032,-5.312571429,0.992806491,1.64849907,0.414285714
BiCeO3,Bi,Ce,FALSE,cubic,2,4,1.38,0.9,0.87,2.02,1.12,2.514401896,2.268642439,-6.232285714,0.865972181,4.485632554,0.621428571
BiCoO3,Bi,Co,FALSE,orthorhombic,3,3,1.38,0.9,0.61,2.02,1.88,2.514401896,1.930310969,-5.470285714,0.977988483,1.608473689,0.435714286
BiCrO3,Bi,Cr,FALSE,orthorhombic,3,3,1.38,0.9,0.62,2.02,1.66,2.514401896,1.960053288,-5.578857143,0.973146956,1.603594181,0.442857143
BiDyO3,Bi,Dy,FALSE,cubic,3,3,1.38,0.9,0.91,2.02,1.22,2.514401896,2.255580699,-6.233571429,0.850976992,3.464288034,0.65
BiErO3,Bi,Er,FALSE,cubic,3,3,1.38,0.9,0.89,2.02,1.24,2.514401896,2.250676638,-6.189142857,0.858409106,3.178372872,0.635714286
BiEuO3,Bi,Eu,FALSE,orthorhombic,3,3,1.38,0.9,0.95,2.02,1.2,2.514401896,2.354367494,-6.310571429,0.836492277,4.145257838,0.678571429
BiFeO3,Bi,Fe,TRUE,orthorhombic,3,3,1.38,0.9,0.65,2.02,1.83,2.514401896,1.999521816,-5.538071429,0.958905781,1.613820779,0.464285714
BiGaO3,Bi,Ga,FALSE,tetragonal,3,3,1.38,0.9,0.62,2.02,1.81,2.514401896,1.974643898,-5.512428571,0.973146956,1.603594181,0.442857143
BiHfO3,Bi,Hf,FALSE,orthorhombic,2,4,1.38,0.9,0.71,2.02,1.3,2.514401896,2.027412322,-5.875857143,0.931638318,3.821179691,0.507142857
BiHoO3,Bi,Ho,FALSE,cubic,3,3,1.38,0.9,0.9,2.02,1.23,2.514401896,2.25865608,-6.211285714,0.854676892,3.317198813,0.642857143
BiInO3,Bi,In,TRUE,orthorhombic,3,3,1.38,0.9,0.8,2.02,1.78,2.514401896,2.147680955,-5.739142857,0.893525842,2.241458642,0.571428571
BiIrO3,Bi,Ir,FALSE,cubic,2,4,1.38,0.9,0.63,2.02,2.2,2.514401896,2.009082787,-5.348571429,0.968353129,3.809323939,0.45
BiLuO3,Bi,Lu,FALSE,orthorhombic,3,3,1.38,0.9,0.86,2.02,1.27,2.514401896,2.209114963,-6.123571429,0.869803917,2.807413114,0.614285714
BiMnO3,Bi,Mn,TRUE,orthorhombic,3,3,1.38,0.9,0.65,2.02,1.55,2.514401896,2.16999357,-5.668071429,0.958905781,1.613820779,0.464285714
BiMoO3,Bi,Mo,FALSE,orthorhombic,3,3,1.38,0.9,0.69,2.02,2.16,2.514401896,1.7893,-5.421428571,0.940553518,1.685155753,0.492857143
BiNbO3,Bi,Nb,FALSE,orthorhombic,1,5,1.38,0.9,0.64,2.02,1.6,2.514401896,1.955055241,-5.631714286,0.9636063,3.993763013,0.457142857
BiNiO3,Bi,Ni,FALSE,orthorhombic,3,3,1.38,0.9,0.6,2.02,1.91,2.514401896,2.103725488,-5.446285714,0.982878426,1.617550435,0.428571429
BiPbO3,Bi,Pb,FALSE,orthorhombic,2,4,1.38,0.9,0.78,2.02,2.33,2.514401896,2.362863567,-5.409,0.901723326,3.996770709,0.557142857
BiPdO3,Bi,Pd,FALSE,orthorhombic,2,4,1.38,0.9,0.62,2.02,2.2,2.514401896,2.04250519,-5.339714286,0.973146956,3.82175096,0.442857143
BiPrO3,Bi,Pr,FALSE,cubic,2,4,1.38,0.9,0.85,2.02,1.13,2.514401896,2.340791612,-6.193071429,0.873669712,4.347518069,0.607142857
BiReO3,Bi,Re,FALSE,cubic,1,5,1.38,0.9,0.58,2.02,1.9,2.514401896,1.98797081,-5.428571429,0.992806491,4.158695092,0.414285714
BiRhO3,Bi,Rh,FALSE,orthorhombic,3,3,1.38,0.9,0.67,2.02,2.28,2.514401896,2.001424352,-5.345714286,0.949640991,1.641223191,0.478571429
BiRuO3,Bi,Ru,FALSE,orthorhombic,2,4,1.38,0.9,0.62,2.02,2.2,2.514401896,2.018753288,-5.339714286,0.973146956,3.82175096,0.442857143
BiSbO3,Bi,Sb,FALSE,orthorhombic,3,3,1.38,0.9,0.76,2.02,2.05,2.514401896,2.075848892,-5.545142857,0.910072617,1.974012444,0.542857143
BiScO3,Bi,Sc,TRUE,orthorhombic,3,3,1.38,0.9,0.75,2.02,1.36,2.514401896,2.074614707,-5.904857143,0.914305512,1.919326011,0.535714286
BiSnO3,Bi,Sn,FALSE,orthorhombic,2,4,1.38,0.9,0.69,2.02,1.96,2.514401896,2.052287148,-5.52,0.940553518,3.799765671,0.492857143
BiTaO3,Bi,Ta,FALSE,orthorhombic,1,5,1.38,0.9,0.64,2.02,1.5,2.514401896,1.956808277,-5.677428571,0.9636063,3.993763013,0.457142857
BiTbO3,Bi,Tb,FALSE,cubic,2,4,1.38,0.9,0.76,2.02,1.2,2.514401896,2.256932729,-6.006571429,0.910072617,3.930043384,0.542857143
BiTeO3,Bi,Te,FALSE,cubic,2,4,1.38,0.9,0.97,2.02,2.1,2.514401896,2.115491508,-5.719,0.829433271,5.514266744,0.692857143
BiThO3,Bi,Th,FALSE,cubic,2,4,1.38,0.9,0.94,2.02,1.3,2.514401896,2.246056043,-6.227428571,0.840067031,5.136456719,0.671428571
BiTiO3,Bi,Ti,FALSE,rhombohedral,2,4,1.38,0.9,0.61,2.02,1.54,2.514401896,1.927848949,-5.618428571,0.977988483,3.837343115,0.435714286
BiTlO3,Bi,Tl,FALSE,orthorhombic,3,3,1.38,0.9,0.89,2.02,1.62,2.514401896,2.297683747,-5.947571429,0.858409106,3.178372872,0.635714286
BiTmO3,Bi,Tm,FALSE,cubic,3,3,1.38,0.9,0.88,2.02,1.25,2.514401896,2.119700811,-6.167142857,0.862174058,3.04738619,0.628571429
BiUO3,Bi,U,FALSE,cubic,2,4,1.38,0.9,0.89,2.02,1.38,2.514401896,2.0478,-6.100142857,0.858409106,4.643259817,0.635714286
BiVO3,Bi,V,FALSE,orthorhombic,3,3,1.38,0.9,0.64,2.02,1.63,2.514401896,1.758039163,-5.618,0.9636063,1.606289039,0.457142857
BiWO3,Bi,W,FALSE,cubic,2,4,1.38,0.9,0.66,2.02,2.36,2.514401896,1.7456,-5.299714286,0.954250899,3.790713441,0.471428571
BiYO3,Bi,Y,FALSE,cubic,3,3,1.38,0.9,0.9,2.02,1.22,2.514401896,2.235124352,-6.217714286,0.854676892,3.317198813,0.642857143
BiYbO3,Bi,Yb,FALSE,cubic,3,3,1.38,0.9,0.87,2.02,1.1,2.514401896,2.223980699,-6.244714286,0.865972181,2.923851129,0.621428571
BiZrO3,Bi,Zr,FALSE,orthorhombic,2,4,1.38,0.9,0.72,2.02,1.33,2.514401896,2.043777903,-5.875714286,0.927243798,3.836554182,0.514285714
CaCeO3,Ca,Ce,FALSE,cubic,2,4,1.34,1,0.87,1,1.12,2.648077507,2.268642439,-7.069714286,0.85351215,4.741017178,0.621428571
CaFeO3,Ca,Fe,FALSE,rhombohedral,2,4,1.34,1,0.59,1,1.83,2.648077507,1.999521816,-6.3065,0.973604312,3.910318678,0.421428571
